09:36:00 INFO:Start training with [gpu(0)]
10:06:05 INFO:Epoch[9] Batch [4820]	Speed: 53.12 samples/sec	Train-Perplexity=4.851081
10:06:12 INFO:Epoch[9] Batch [4840]	Speed: 54.09 samples/sec	Train-Perplexity=4.051834
10:06:20 INFO:Epoch[9] Batch [4860]	Speed: 50.79 samples/sec	Train-Perplexity=4.280881
10:06:28 INFO:Epoch[9] Batch [4880]	Speed: 52.76 samples/sec	Train-Perplexity=4.391043
10:06:36 INFO:Epoch[9] Batch [4900]	Speed: 49.32 samples/sec	Train-Perplexity=4.253645
10:06:43 INFO:Epoch[9] Batch [4920]	Speed: 53.67 samples/sec	Train-Perplexity=4.305234
10:06:51 INFO:Epoch[9] Batch [4940]	Speed: 53.92 samples/sec	Train-Perplexity=4.359982
10:06:58 INFO:Epoch[9] Batch [4960]	Speed: 51.52 samples/sec	Train-Perplexity=4.449673
10:07:06 INFO:Epoch[9] Batch [4980]	Speed: 52.52 samples/sec	Train-Perplexity=4.533171
10:07:14 INFO:Epoch[9] Batch [5000]	Speed: 51.91 samples/sec	Train-Perplexity=4.665737
10:07:21 INFO:Epoch[9] Batch [5020]	Speed: 55.79 samples/sec	Train-Perplexity=4.425707
10:07:28 INFO:Epoch[9] Batch [5040]	Speed: 59.14 samples/sec	Train-Perplexity=4.301211
10:07:35 INFO:Epoch[9] Batch [5060]	Speed: 54.52 samples/sec	Train-Perplexity=4.743577
10:07:42 INFO:Epoch[9] Batch [5080]	Speed: 54.02 samples/sec	Train-Perplexity=4.597631
10:07:50 INFO:Epoch[9] Batch [5100]	Speed: 56.12 samples/sec	Train-Perplexity=4.518579
10:07:57 INFO:Epoch[9] Batch [5120]	Speed: 51.97 samples/sec	Train-Perplexity=4.439305
10:08:05 INFO:Epoch[9] Batch [5140]	Speed: 54.50 samples/sec	Train-Perplexity=4.681473
